g7g6: @VitCritical
d1g4: @MatissesProjects
c8g4: @ethembeldagli
e2g4: @KostinP
f5e4: @lazycheese
f3e4: @KAZUTO0
a8b8: @Sujith-richard
f2f3: @jonamb
f7f5: @m3hr4nn
f1e2: @AlimIzt
d4e4: @MatissesProjects
a1b1: @rainLyn
d8d4: @MatissesProjects
f3d4: @TejaswiAmatya
h6g4: @Aouni19
g1f3: @batu0labs
a7a5: @SatiXXGG
c1d2: @mabamano
c6d4: @MoazAbdulsalam
a2a4: @rowanammar
g8h6: @rishichitnis007
d2d4: @joaoajmatos
b8c6: @herndev
c3e4: @MatissesProjects
d5e4: @sleep-is-best
e2e4: @MatissesProjects
d7d5: @sugar700
b1c3: @herndev
Start game: @herndev
